timestep,susceptible,infected,recovered,step_time_sec
190,35876356,12829,110815,0.139737
191,35875011,12869,112120,0.143762
192,35873693,12931,113376,0.118236
193,35872334,12977,114689,0.118574
194,35870922,13112,115966,0.137155
195,35869528,13191,117281,0.120552
196,35868141,13240,118619,0.112883
197,35866768,13314,119918,0.117217
198,35865397,13356,121247,0.121032
199,35863986,13498,122516,0.117921
200,35862595,13567,123838,0.124850
201,35861203,13640,125157,0.143220
202,35859762,13762,126476,0.114711
203,35858297,13884,127819,0.116371
204,35856871,13898,129231,0.114847
205,35855453,13938,130609,0.129458
206,35853973,14045,131982,0.117673
207,35852507,14122,133371,0.119573
208,35851011,14218,134771,0.118691
209,35849535,14294,136171,0.118151
210,35848006,14455,137539,0.119133
211,35846565,14436,138999,0.139106
212,35845080,14465,140455,0.140613
213,35843577,14545,141878,0.121160
214,35842011,14706,143283,0.119746
215,35840505,14703,144792,0.117805
216,35838992,14806,146202,0.120250
217,35837448,14836,147716,0.145044
218,35835875,14937,149188,0.114295
219,35834344,14970,150686,0.113033
220,35832753,15119,152128,0.123369
221,35831157,15229,153614,0.134095
222,35829607,15213,155180,0.121117
223,35827988,15337,156675,0.123241
224,35826318,15537,158145,0.128290
225,35824716,15567,159717,0.140583
226,35823086,15668,161246,0.115108
227,35821461,15773,162766,0.115136
228,35819833,15838,164329,0.117727
229,35818210,15839,165951,0.120552
230,35816508,15950,167542,0.123642
231,35814900,15970,169130,0.124573
232,35813185,16080,170735,0.132689
233,35811566,16030,172404,0.118255
234,35809870,16165,173965,0.121950
235,35808136,16295,175569,0.119899
236,35806383,16351,177266,0.115187
237,35804687,16372,178941,0.120951
238,35802956,16429,180615,0.135206
239,35801304,16407,182289,0.143500
240,35799616,16506,183878,0.157002
241,35797893,16620,185487,0.142532
242,35796237,16676,187087,0.119265
243,35794502,16729,188769,0.162933
244,35792776,16795,190429,0.161724
245,35791026,16853,192121,0.117636
246,35789220,16872,193908,0.151894
247,35787476,16935,195589,0.121320
248,35785683,17047,197270,0.115798
249,35783923,17097,198980,0.116847
250,35782105,17204,200691,0.116443
251,35780311,17259,202430,0.117305
252,35778534,17278,204188,0.117563
253,35776737,17334,205929,0.122251
254,35774940,17487,207573,0.121034
255,35773130,17517,209353,0.121239
256,35771310,17603,211087,0.119071
257,35769439,17691,212870,0.124607
258,35767558,17784,214658,0.119113
259,35765705,17909,216386,0.166193
260,35763907,17921,218172,0.149066
261,35762079,17933,219988,0.119805
262,35760207,18006,221787,0.112479
263,35758332,18132,223536,0.114572
